issue	matchId	home	away	sid	url	status
1	m01	墨西哥	南非	260611001	https://www.shzrs.com/jczq/bsid.php?t=260611001	ok
2	m02	韩国	捷克	260611002	https://www.shzrs.com/jczq/bsid.php?t=260611002	ok
3	m04	加拿大	波黑	260612003	https://www.shzrs.com/jczq/bsid.php?t=260612003	ok
4	m03	美国	巴拉圭	260612004	https://www.shzrs.com/jczq/bsid.php?t=260612004	ok
5	m05	卡塔尔	瑞士	260613005	https://www.shzrs.com/jczq/bsid.php?t=260613005	ok
6	m06	巴西	摩洛哥	260613006	https://www.shzrs.com/jczq/bsid.php?t=260613006	ok
7	m07	海地	苏格兰	260613007	https://www.shzrs.com/jczq/bsid.php?t=260613007	ok
8	m08	澳大利亚	土耳其	260613008	https://www.shzrs.com/jczq/bsid.php?t=260613008	ok
9	m09	德国	库拉索	260614009	https://www.shzrs.com/jczq/bsid.php?t=260614009	ok
10	m10	荷兰	日本	260614010	https://www.shzrs.com/jczq/bsid.php?t=260614010	ok
11	m11	科特迪瓦	厄瓜多尔	260614011	https://www.shzrs.com/jczq/bsid.php?t=260614011	ok
12	m12	瑞典	突尼斯	260614012	https://www.shzrs.com/jczq/bsid.php?t=260614012	ok
13	m13	西班牙	佛得角	260615013	https://www.shzrs.com/jczq/bsid.php?t=260615013	ok
14	m16	比利时	埃及	260615014	https://www.shzrs.com/jczq/bsid.php?t=260615014	ok
15	m15	沙特阿拉伯	乌拉圭	260615015	https://www.shzrs.com/jczq/bsid.php?t=260615015	ok
16	m14	伊朗	新西兰	260615016	https://www.shzrs.com/jczq/bsid.php?t=260615016	ok
17	m18	法国	塞内加尔	260616017	https://www.shzrs.com/jczq/bsid.php?t=260616017	ok
18	m19	伊拉克	挪威	260616018	https://www.shzrs.com/jczq/bsid.php?t=260616018	ok
19	m20	阿根廷	阿尔及利亚	260616019	https://www.shzrs.com/jczq/bsid.php?t=260616019	ok
20	m17	奥地利	约旦	260616020	https://www.shzrs.com/jczq/bsid.php?t=260616020	ok
21	m21	葡萄牙	刚果（金）			error
22	m22	英格兰	克罗地亚	260617022	https://www.shzrs.com/jczq/bsid.php?t=260617022	ok
23	m23	加纳	巴拿马	260617023	https://www.shzrs.com/jczq/bsid.php?t=260617023	ok
24	m24	乌兹别克斯坦	哥伦比亚	260617024	https://www.shzrs.com/jczq/bsid.php?t=260617024	ok
25	m28	捷克	南非	260618025	https://www.shzrs.com/jczq/bsid.php?t=260618025	ok
26	m27	瑞士	波黑	260618026	https://www.shzrs.com/jczq/bsid.php?t=260618026	ok
27	m26	加拿大	卡塔尔	260618027	https://www.shzrs.com/jczq/bsid.php?t=260618027	ok
28	m25	墨西哥	韩国	260618028	https://www.shzrs.com/jczq/bsid.php?t=260618028	ok
29	m29	美国	澳大利亚	260619029	https://www.shzrs.com/jczq/bsid.php?t=260619029	ok
30	m32	苏格兰	摩洛哥	260619030	https://www.shzrs.com/jczq/bsid.php?t=260619030	ok
31	m31	巴西	海地	260619031	https://www.shzrs.com/jczq/bsid.php?t=260619031	ok
32	m30	土耳其	巴拉圭	260619032	https://www.shzrs.com/jczq/bsid.php?t=260619032	ok
33	m36	荷兰	瑞典	260620033	https://www.shzrs.com/jczq/bsid.php?t=260620033	ok
34	m35	德国	科特迪瓦	260620034	https://www.shzrs.com/jczq/bsid.php?t=260620034	ok
35	m34	厄瓜多尔	库拉索	260620035	https://www.shzrs.com/jczq/bsid.php?t=260620035	ok
36	m33	突尼斯	日本	260620036	https://www.shzrs.com/jczq/bsid.php?t=260620036	ok
37	m40	西班牙	沙特阿拉伯	260621037	https://www.shzrs.com/jczq/bsid.php?t=260621037	ok
38	m39	比利时	伊朗	260621038	https://www.shzrs.com/jczq/bsid.php?t=260621038	ok
39	m38	乌拉圭	佛得角	260621039	https://www.shzrs.com/jczq/bsid.php?t=260621039	ok
40	m37	新西兰	埃及	260621040	https://www.shzrs.com/jczq/bsid.php?t=260621040	ok
41	m44	阿根廷	奥地利	260622041	https://www.shzrs.com/jczq/bsid.php?t=260622041	ok
42	m43	法国	伊拉克	260622042	https://www.shzrs.com/jczq/bsid.php?t=260622042	ok
43	m42	挪威	塞内加尔	260622043	https://www.shzrs.com/jczq/bsid.php?t=260622043	ok
44	m41	约旦	阿尔及利亚	260622044	https://www.shzrs.com/jczq/bsid.php?t=260622044	ok
45	m48	葡萄牙	乌兹别克斯坦	260623045	https://www.shzrs.com/jczq/bsid.php?t=260623045	ok
46	m47	英格兰	加纳	260623046	https://www.shzrs.com/jczq/bsid.php?t=260623046	ok
47	m46	巴拿马	克罗地亚	260623047	https://www.shzrs.com/jczq/bsid.php?t=260623047	ok
48	m45	哥伦比亚	刚果（金）			error
49	m54	瑞士	加拿大	260624049	https://www.shzrs.com/jczq/bsid.php?t=260624049	ok
50	m53	波黑	卡塔尔	260624050	https://www.shzrs.com/jczq/bsid.php?t=260624050	ok
51	m52	苏格兰	巴西	260624051	https://www.shzrs.com/jczq/bsid.php?t=260624051	ok
52	m51	摩洛哥	海地	260624052	https://www.shzrs.com/jczq/bsid.php?t=260624052	ok
53	m50	捷克	墨西哥			error
54	m49	南非	韩国			error
55	m56	厄瓜多尔	德国	260625055	https://www.shzrs.com/jczq/bsid.php?t=260625055	ok
56	m55	库拉索	科特迪瓦	260625056	https://www.shzrs.com/jczq/bsid.php?t=260625056	ok
57	m58	突尼斯	荷兰	260625057	https://www.shzrs.com/jczq/bsid.php?t=260625057	ok
58	m57	日本	瑞典	260625058	https://www.shzrs.com/jczq/bsid.php?t=260625058	ok
59	m59	土耳其	美国			error
60	m60	巴拉圭	澳大利亚			error
61	m66	挪威	法国	260626061	https://www.shzrs.com/jczq/bsid.php?t=260626061	ok
62	m65	塞内加尔	伊拉克	260626062	https://www.shzrs.com/jczq/bsid.php?t=260626062	ok
63	m64	乌拉圭	西班牙			error
64	m63	佛得角	沙特阿拉伯			error
65	m61	新西兰	比利时			error
66	m62	埃及	伊朗			error
67	m72	巴拿马	英格兰			error
68	m71	克罗地亚	加纳			error
69	m69	哥伦比亚	葡萄牙	260627069	https://www.shzrs.com/jczq/bsid.php?t=260627069	ok
70	m70	刚果（金）	乌兹别克斯坦			error
71	m68	约旦	阿根廷			error
72	m67	阿尔及利亚	奥地利			error
73	m73	南非	加拿大	260628073	https://www.shzrs.com/jczq/bsid.php?t=260628073	ok
74	m76	巴西	日本	260629074	https://www.shzrs.com/jczq/bsid.php?t=260629074	ok
75	m74	德国	巴拉圭	260629075	https://www.shzrs.com/jczq/bsid.php?t=260629075	ok
76	m75	荷兰	摩洛哥	260629076	https://www.shzrs.com/jczq/bsid.php?t=260629076	ok
77	m79	科特迪瓦	挪威	260630077	https://www.shzrs.com/jczq/bsid.php?t=260630077	ok
78	m78	法国	瑞典	260630078	https://www.shzrs.com/jczq/bsid.php?t=260630078	ok
79	m77	墨西哥	厄瓜多尔	260630079	https://www.shzrs.com/jczq/bsid.php?t=260630079	ok
80	m82	英格兰	刚果（金）			error
81	m81	比利时	塞内加尔	260701081	https://www.shzrs.com/jczq/bsid.php?t=260701081	ok
82	m80	美国	波黑	260701082	https://www.shzrs.com/jczq/bsid.php?t=260701082	ok
83	m85	西班牙	奥地利	260702083	https://www.shzrs.com/jczq/bsid.php?t=260702083	ok
84	m84	葡萄牙	克罗地亚	260702084	https://www.shzrs.com/jczq/bsid.php?t=260702084	ok
85	m83	瑞士	阿尔及利亚	260702085	https://www.shzrs.com/jczq/bsid.php?t=260702085	ok
86	m88	澳大利亚	埃及	260703086	https://www.shzrs.com/jczq/bsid.php?t=260703086	ok
87	m87	阿根廷	佛得角	260703087	https://www.shzrs.com/jczq/bsid.php?t=260703087	ok
88	m86	哥伦比亚	加纳	260703088	https://www.shzrs.com/jczq/bsid.php?t=260703088	ok
89	m90	加拿大	摩洛哥	260704089	https://www.shzrs.com/jczq/bsid.php?t=260704089	ok
90	m89	巴拉圭	法国	260704090	https://www.shzrs.com/jczq/bsid.php?t=260704090	ok
91	m92	巴西	挪威	260705091	https://www.shzrs.com/jczq/bsid.php?t=260705091	ok
92	m91	墨西哥	英格兰	260705092	https://www.shzrs.com/jczq/bsid.php?t=260705092	ok
93	m94	葡萄牙	西班牙	260706093	https://www.shzrs.com/jczq/bsid.php?t=260706093	ok
94	m93	美国	比利时	260706094	https://www.shzrs.com/jczq/bsid.php?t=260706094	ok
95	m96	阿根廷	埃及	260707095	https://www.shzrs.com/jczq/bsid.php?t=260707095	ok
96	m95	瑞士	哥伦比亚	260707096	https://www.shzrs.com/jczq/bsid.php?t=260707096	ok
97	m97	法国	摩洛哥	260709097	https://www.shzrs.com/jczq/bsid.php?t=260709097	ok
98	m98	西班牙	比利时	260710098	https://www.shzrs.com/jczq/bsid.php?t=260710098	ok
99	m100	挪威	英格兰	260711099	https://www.shzrs.com/jczq/bsid.php?t=260711099	ok
100	m99	阿根廷	瑞士	260711100	https://www.shzrs.com/jczq/bsid.php?t=260711100	ok
101	m101	法国	西班牙	260714101	https://www.shzrs.com/jczq/bsid.php?t=260714101	ok
