match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name
1,2026-06-11,19:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,South Africa,RSA,2,0,,,Completed,Regular,1.84,0.52,José Raúl Rangel,Ronwen Hayden Williams,Julián Andrés Quinones,Daniele Orsato
2,2026-06-11,23:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Korea,KOR,Czechia,CZE,2,1,,,Completed,Regular,1.45,1.12,Seunggyu Kim,Mat ě j Kovar,Inbeom Hwang,César Arturo Ramos
3,2026-06-12,19:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Canada,CAN,Bosnia and Herzegovina,BIH,1,1,,,Completed,Regular,1.35,0.98,Maxime Crepeau,Nikola Vasilj,Ismaël Kenneth Jordan Kone,Mustapha Ghorbal
4,2026-06-12,23:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,USA,USA,Paraguay,PAR,4,1,,,Completed,Regular,2.76,0.88,Matthew Charles Turner,Roberto Junior Fernandez,Folarin Jolaoluwa Balogun,Victor Gomes
5,2026-06-13,15:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Qatar,QAT,Switzerland,SUI,1,1,,,Completed,Regular,0.78,1.54,Ibrahim Mahmoud Abunada,Gregor Kobel,Ibrahim Mahmoud Abunada,Yoshimi Yamashita
6,2026-06-13,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Brazil,BRA,Morocco,MAR,1,1,,,Completed,Regular,1.62,1.1,Ramsés Alisson,Yassine Bounou,José Vinicius,Szymon Marciniak
7,2026-06-13,21:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Haiti,HAI,Scotland,SCO,0,1,,,Completed,Regular,1.25,0.65,Johny Placide,Angus Fraser James Gunn,John McGinn,Daniele Orsato
8,2026-06-13,23:59,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Australia,AUS,Türkiye,TUR,2,0,,,Completed,Regular,1.48,0.72,Mathew David Ryan,Fehmi Mert Gunok,Nestory Irankunda,Anthony Taylor
9,2026-06-14,15:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Germany,GER,Curaçao,CUW,7,1,,,Completed,Regular,4.82,0.44,Manuel Peter Neuer,Eloy Victor Room,Kai Lukas Havertz,Clément Turpin
10,2026-06-14,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Netherlands,NED,Japan,JPN,2,2,,,Completed,Regular,1.95,1.82,Bart Verbruggen,Zion Suzuki,Virgil Van Dijk,Wilton Sampaio
11,2026-06-14,21:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Côte d'Ivoire,CIV,Ecuador,ECU,1,0,,,Completed,Regular,1.1,0.95,Yahia Fofana,Hernán Ismael Galindez,Yan Diomande,César Arturo Ramos
12,2026-06-14,23:59,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Sweden,SWE,Tunisia,TUN,5,1,,,Completed,Regular,3.12,0.78,Jacob Mikael Widell Zetterstrom,Aymen Dahmen,Alexander Isak,Mustapha Ghorbal
13,2026-06-15,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Spain,ESP,Cabo Verde,CPV,0,0,,,Completed,Regular,2.15,0.35,Unai Simon,José Vozinha,José Vozinha,Victor Gomes
