match_id,team_a,team_b,book,source_url,odds_home_raw,odds_draw_raw,odds_away_raw,odds_home_dec,odds_draw_dec,odds_away_dec,imp_home,imp_draw,imp_away,overround
m01,Mexico,South Africa,FanDuel,https://www.cbssports.com/soccer/news/mexico-south-africa-odds-prediction-time-2026-world-cup-picks-line-soccer-best-bets/,-250,+360,+700,1.4,4.6,8.0,0.676,0.2057,0.1183,1.0567
m02,Korea Republic,Czechia,Kalshi,https://www.covers.com/world-cup/south-korea-vs-czechia-picks-predictions-odds-today-june-11-2026,+155,+215,+185,2.55,3.15,2.85,0.3698,0.2994,0.3309,1.0605
m03,USA,Paraguay,FanDuel,https://www.foxsports.com/stories/soccer/2026-world-cup-usa-paraguay-odds-prediction-picks,-105,+240,+320,1.9523809523809523,3.4,4.2,0.4904,0.2816,0.228,1.0444
m04,Canada,Bosnia and Herzegovina,unspecified,https://www.cbssports.com/soccer/news/canada-bosnia-world-cup-2026-preview-predictions-watch-odds/,-120,+265,+370,1.8333333333333335,3.65,4.7,0.5284,0.2654,0.2061,1.0322
m05,Qatar,Switzerland,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/qatar-vs-switzerland-betting-tips-predictions-team-news-odds-bet-builder-a3Es28q4twWR/,11/1,11/2,2/9,12.0,6.5,1.2222222222222223,0.079,0.1458,0.7753,1.0554
m06,Brazil,Morocco,unspecified,https://www.cbssports.com/soccer/news/brazil-morocco-world-cup-2026-preview-predictions-watch/,-167,+290,+400,1.5988023952095807,3.9,5.0,0.5781,0.237,0.1849,1.0819
m07,Haiti,Scotland,Kalshi,https://www.covers.com/world-cup/haiti-vs-scotland-prediction-picks-odds-saturday-6-13-2026,+525,+375,-170,6.25,4.75,1.5882352941176472,0.16,0.2105,0.6295,1.0002
m08,Australia,Türkiye,bet365,https://www.racingpost.com/sport/football-tips/world-cup-2026/australia-vs-turkey-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aDqeC7S5q8Ib/,4/1,11/4,7/10,5.0,3.75,1.7,0.1896,0.2528,0.5576,1.0549
m09,Germany,Curaçao,Paddy Power,https://www.racingpost.com/sport/football-tips/world-cup-2026/germany-vs-curacao-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aCceV7d7CMtv/,1/25,18/1,33/1,1.04,19.0,34.0,0.9214,0.0504,0.0282,1.0436
m10,Netherlands,Japan,Ladbrokes,https://www.racingpost.com/sport/football-tips/world-cup-2026/netherlands-vs-japan-world-cup-prediction-team-news-odds-betting-tips-and-bet-builder-aHebD0x5a8Gy/,1/1,5/2,13/5,2.0,3.5,3.6,0.4701,0.2687,0.2612,1.0635
