match_id,date,weekday,group,team_a,team_b,kickoff,venue,city,stage
m01,2026-06-11,Thursday,A,Mexico,South Africa,14:00,Mexico City Stadium,Mexico City,group
m02,2026-06-11,Thursday,A,Korea Republic,Czechia,21:00,Guadalajara Stadium,Guadalajara,group
m03,2026-06-12,Friday,D,USA,Paraguay,20:00,Los Angeles Stadium,Los Angeles,group
m04,2026-06-12,Friday,B,Canada,Bosnia and Herzegovina,14:00,Toronto Stadium,Toronto,group
m05,2026-06-13,Saturday,B,Qatar,Switzerland,14:00,SF Bay Area Stadium,San Francisco Bay Area,group
m06,2026-06-13,Saturday,C,Brazil,Morocco,17:00,NY/NJ Stadium,New Jersey,group
m07,2026-06-13,Saturday,C,Haiti,Scotland,20:00,Boston Stadium,Boston,group
m08,2026-06-13,Saturday,D,Australia,Türkiye,23:00,BC Place Vancouver,Vancouver,group
m09,2026-06-14,Sunday,E,Germany,Curaçao,12:00,Houston Stadium,Houston,group
m10,2026-06-14,Sunday,F,Netherlands,Japan,15:00,Dallas Stadium,Dallas,group
m11,2026-06-14,Sunday,E,Côte d'Ivoire,Ecuador,18:00,Philadelphia Stadium,Philadelphia,group
m12,2026-06-14,Sunday,F,Sweden,Tunisia,21:00,Monterrey Stadium,Monterrey,group
m13,2026-06-15,Monday,H,Spain,Cabo Verde,11:00,Atlanta Stadium,Atlanta,group
m14,2026-06-15,Monday,G,IR Iran,New Zealand,20:00,Los Angeles Stadium,Los Angeles,group
m15,2026-06-15,Monday,H,Saudi Arabia,Uruguay,17:00,Miami Stadium,Miami,group
m16,2026-06-15,Monday,G,Belgium,Egypt,14:00,Seattle Stadium,Seattle,group
m17,2026-06-16,Tuesday,J,Austria,Jordan,23:00,SF Bay Area Stadium,San Francisco Bay Area,group
m18,2026-06-16,Tuesday,I,France,Senegal,14:00,NY/NJ Stadium,New Jersey,group
m19,2026-06-16,Tuesday,I,Iraq,Norway,17:00,Boston Stadium,Boston,group
m20,2026-06-16,Tuesday,J,Argentina,Algeria,20:00,Kansas City Stadium,Kansas City,group
m21,2026-06-17,Wednesday,K,Portugal,Congo DR,12:00,Houston Stadium,Houston,group
m22,2026-06-17,Wednesday,L,England,Croatia,15:00,Dallas Stadium,Dallas,group
m23,2026-06-17,Wednesday,L,Ghana,Panama,18:00,Toronto Stadium,Toronto,group
m24,2026-06-17,Wednesday,K,Uzbekistan,Colombia,21:00,Mexico City Stadium,Mexico City,group
m25,2026-06-18,Thursday,A,Mexico,Korea Republic,20:00,Guadalajara Stadium,Guadalajara,group
m26,2026-06-18,Thursday,B,Canada,Qatar,17:00,BC Place Vancouver,Vancouver,group
m27,2026-06-18,Thursday,B,Switzerland,Bosnia and Herzegovina,14:00,Los Angeles Stadium,Los Angeles,group
m28,2026-06-18,Thursday,A,Czechia,South Africa,11:00,Atlanta Stadium,Atlanta,group
m29,2026-06-19,Friday,D,USA,Australia,14:00,Seattle Stadium,Seattle,group
m30,2026-06-19,Friday,D,Türkiye,Paraguay,22:00,SF Bay Area Stadium,San Francisco Bay Area,group
m31,2026-06-19,Friday,C,Brazil,Haiti,19:30,Philadelphia Stadium,Philadelphia,group
m32,2026-06-19,Friday,C,Scotland,Morocco,17:00,Boston Stadium,Boston,group
m33,2026-06-20,Saturday,F,Tunisia,Japan,23:00,Monterrey Stadium,Monterrey,group
m34,2026-06-20,Saturday,E,Ecuador,Curaçao,19:00,Kansas City Stadium,Kansas City,group
m35,2026-06-20,Saturday,E,Germany,Côte d'Ivoire,15:00,Toronto Stadium,Toronto,group
m36,2026-06-20,Saturday,F,Netherlands,Sweden,12:00,Houston Stadium,Houston,group
