match_id,date,weekday,group,team_a,team_b,kickoff,venue,city,stage,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced,advanced_team
m01,2026-06-11,Thursday,A,Mexico,South Africa,14:00,Mexico City Stadium,Mexico City,group,2,0,team_a_win,,,,,
m02,2026-06-11,Thursday,A,Korea Republic,Czechia,21:00,Guadalajara Stadium,Guadalajara,group,2,1,team_a_win,,,,,
m03,2026-06-12,Friday,D,USA,Paraguay,20:00,Los Angeles Stadium,Los Angeles,group,4,1,team_a_win,,,,,
m04,2026-06-12,Friday,B,Canada,Bosnia and Herzegovina,14:00,Toronto Stadium,Toronto,group,1,1,draw,,,,,
m05,2026-06-13,Saturday,B,Qatar,Switzerland,14:00,SF Bay Area Stadium,San Francisco Bay Area,group,1,1,draw,,,,,
m06,2026-06-13,Saturday,C,Brazil,Morocco,17:00,NY/NJ Stadium,New Jersey,group,1,1,draw,,,,,
m07,2026-06-13,Saturday,C,Haiti,Scotland,20:00,Boston Stadium,Boston,group,0,1,team_b_win,,,,,
m08,2026-06-13,Saturday,D,Australia,Türkiye,23:00,BC Place Vancouver,Vancouver,group,2,0,team_a_win,,,,,
m09,2026-06-14,Sunday,E,Germany,Curaçao,12:00,Houston Stadium,Houston,group,7,1,team_a_win,,,,,
m10,2026-06-14,Sunday,F,Netherlands,Japan,15:00,Dallas Stadium,Dallas,group,2,2,draw,,,,,
m11,2026-06-14,Sunday,E,Côte d'Ivoire,Ecuador,18:00,Philadelphia Stadium,Philadelphia,group,1,0,team_a_win,,,,,
m12,2026-06-14,Sunday,F,Sweden,Tunisia,21:00,Monterrey Stadium,Monterrey,group,5,1,team_a_win,,,,,
m13,2026-06-15,Monday,H,Spain,Cabo Verde,11:00,Atlanta Stadium,Atlanta,group,0,0,draw,,,,,
m14,2026-06-15,Monday,G,IR Iran,New Zealand,20:00,Los Angeles Stadium,Los Angeles,group,2,2,draw,,,,,
m15,2026-06-15,Monday,H,Saudi Arabia,Uruguay,17:00,Miami Stadium,Miami,group,1,1,draw,,,,,
m16,2026-06-15,Monday,G,Belgium,Egypt,14:00,Seattle Stadium,Seattle,group,1,1,draw,,,,,
